post_id;post_txt;post_lable
5010;Life is short. Smile ;p
5011;You are my best reason to lose sleep.;p
5012;I’m the dude with cool attitude!;p
5013;I wish I had Google in my mind ;b
5014;You have TO-GET-HER.;b
5015;If you want to be TOGETHER.  ;p
5016;Your Whatsapp status say’s online;p
5017;… If your online then, why aren’t you ;b
5018;Try to solve your problem yourself… ;p
5019;Don’t Depend on other..!;b
5020;Life begins at the end ;b
5021;of your comfort zone.;b
5022;Stop saying I wish start saying I will.;p
5023;and antivirus in my heart.;p
5024;Every people is a intelligent;n
5025;When he work Hard! Goood feel;p
5026;Please don’t get confused ;p
5027;please smile ..to your life;p
5028;Love yourself love your day love your life.;p
5029;When he work Hard that is great;n
5030;Don’t let a bad day ;p
5031;make u feel u have a bad life.;n
5032;I’ve got nothing to do today ;p
5033;but smile.;b
5034;Life is to short to remove USB slowly.;n
5035;So many assume. So few know.;p
5036;Nobody can teach me who I am.;p
5037;‘Down’, It only means that you ;p
5038;If people are trying to bring you ;p
5039;I got less but I got best!;p
5040;I’m cool but Summer made me hot!;p
5041;I got less but I got best!;n
5042;I am Waiting for GF Message!;p
5043;So many assume. So few know.;p
5044;Stop saying I wish start saying I will;p
5045;It costs $b.bb to be a decent person.;b
5046;With Great power, Comes great ele bill.;b
5047;I’m sorry my fault. I forgot you’re an Idiot.;b
5048;Love yourself love your day love your life.;b
5049;Sugar? No thanks, I am already sweet..;b
5050;My heart is stolen… Can I check your bar..;p
5051;Life is a story, Make yours the best seller!;b
5052;Life is short. Smile ;p
5053;You are my best reason to lose sleep.;p
5054;I’m the dude with cool attitude!;p
5055;I wish I had Google in my mind ;b
5056;You have TO-GET-HER.;b
5057;If you want to be TOGETHER.  ;p
5058;Your Whatsapp status say’s online;p
5059;… If your online then, why aren’t you ;b
5060;Try to solve your problem yourself… ;p
5061;Don’t Depend on other..!;b
5062;Life begins at the end ;b
5063;of your comfort zone.;b
5064;Stop saying I wish start saying I will.;p
5065;and antivirus in my heart.;p
5066;Every people is a intelligent;n
5067;When he work Hard! Goood feel;p
5068;Please don’t get confused ;p
5069;please smile ..to your life;p
5070;Love yourself love your day love your life.;p
5071;When he work Hard that is great;n
5072;Don’t let a bad day ;p
5073;make u feel u have a bad life.;n
5074;I’ve got nothing to do today ;p
5075;but smile.;b
5076;Life is to short to remove USB slowly.;n
5077;So many assume. So few know.;p
5078;Nobody can teach me who I am.;p
5079;‘Down’, It only means that you ;p
5080;If people are trying to bring you ;p
5081;I got less but I got best!;p
5082;I’m cool but Summer made me hot!;p
5083;I got less but I got best!;n
5084;I am Waiting for GF Message!;p
5085;So many assume. So few know.;p
5086;Stop saying I wish start saying I will;p
5087;It costs $b.bb to be a decent person.;b
5088;With Great power, Comes great ele bill.;b
5089;I’m sorry my fault. I forgot you’re an Idiot.;b
5090;Love yourself love your day love your life.;b
5091;Sugar? No thanks, I am already sweet..;b
5092;My heart is stolen… Can I check your bar..;p
5093;Life is a story, Make yours the best seller!;b
5094;Life is short. Smile ;p
5095;You are my best reason to lose sleep.;p
5096;I’m the dude with cool attitude!;p
5097;I wish I had Google in my mind ;b
5098;You have TO-GET-HER.;b
5099;If you want to be TOGETHER.  ;p
5100;Your Whatsapp status say’s online;p
5101;… If your online then, why aren’t you ;b
5102;Try to solve your problem yourself… ;p
5103;Don’t Depend on other..!;b
5104;Life begins at the end ;b
5105;of your comfort zone.;b
5106;Stop saying I wish start saying I will.;p
5107;and antivirus in my heart.;p
5108;Every people is a intelligent;n
5109;When he work Hard! Goood feel;p
5110;Please don’t get confused ;p
5111;please smile ..to your life;p
5112;Love yourself love your day love your life.;p
5113;When he work Hard that is great;n
5114;Don’t let a bad day ;p
5115;make u feel u have a bad life.;n
5116;I’ve got nothing to do today ;p
5117;but smile.;b
5118;Life is to short to remove USB slowly.;n
5119;So many assume. So few know.;p
5120;Nobody can teach me who I am.;p
5121;‘Down’, It only means that you ;p
5122;If people are trying to bring you ;p
5123;I got less but I got best!;p
5124;I’m cool but Summer made me hot!;p
5125;I got less but I got best!;n
5126;I am Waiting for GF Message!;p
5127;So many assume. So few know.;p
5128;Stop saying I wish start saying I will;p
5129;It costs $b.bb to be a decent person.;b
5130;With Great power, Comes great ele bill.;b
5131;I’m sorry my fault. I forgot you’re an Idiot.;b
5132;Love yourself love your day love your life.;b
5133;Sugar? No thanks, I am already sweet..;b
5134;My heart is stolen… Can I check your bar..;p
5135;Life is a story, Make yours the best seller!;b
5136;Life is short. Smile ;p
5137;You are my best reason to lose sleep.;p
5138;I’m the dude with cool attitude!;p
5139;I wish I had Google in my mind ;b
5140;You have TO-GET-HER.;b
5141;If you want to be TOGETHER.  ;p
5142;Your Whatsapp status say’s online;p
5143;… If your online then, why aren’t you ;b
5144;Try to solve your problem yourself… ;p
5145;Don’t Depend on other..!;b
5146;Life begins at the end ;b
5147;of your comfort zone.;b
5148;Stop saying I wish start saying I will.;p
5149;and antivirus in my heart.;p
5150;Every people is a intelligent;n
5151;When he work Hard! Goood feel;p
5152;Please don’t get confused ;p
5153;please smile ..to your life;p
5154;Love yourself love your day love your life.;p
5155;When he work Hard that is great;n
5156;Don’t let a bad day ;p
5157;make u feel u have a bad life.;n
5158;I’ve got nothing to do today ;p
5159;but smile.;b
5160;Life is to short to remove USB slowly.;n
5161;So many assume. So few know.;p
5162;Nobody can teach me who I am.;p
5163;‘Down’, It only means that you ;p
5164;If people are trying to bring you ;p
5165;I got less but I got best!;p
5166;I’m cool but Summer made me hot!;p
5167;I got less but I got best!;n
5168;I am Waiting for GF Message!;p
5169;So many assume. So few know.;p
5170;Stop saying I wish start saying I will;p
5171;It costs $b.bb to be a decent person.;b
5172;With Great power, Comes great ele bill.;b
5173;I’m sorry my fault. I forgot you’re an Idiot.;b
5174;Love yourself love your day love your life.;b
5175;Sugar? No thanks, I am already sweet..;b
5176;My heart is stolen… Can I check your bar..;p
5177;Life is a story, Make yours the best seller!;b
5178;Life is short. Smile ;p
5179;You are my best reason to lose sleep.;p
5180;I’m the dude with cool attitude!;p
5181;I wish I had Google in my mind ;b
5182;You have TO-GET-HER.;b
5183;If you want to be TOGETHER.  ;p
5184;Your Whatsapp status say’s online;p
5185;… If your online then, why aren’t you ;b
5186;Try to solve your problem yourself… ;p
5187;Don’t Depend on other..!;b
5188;Life begins at the end ;b
5189;of your comfort zone.;b
5190;Stop saying I wish start saying I will.;p
5191;and antivirus in my heart.;p
5192;Every people is a intelligent;n
5193;When he work Hard! Goood feel;p
5194;Please don’t get confused ;p
5195;please smile ..to your life;p
5196;Love yourself love your day love your life.;p
5197;When he work Hard that is great;n
5198;Don’t let a bad day ;p
5199;make u feel u have a bad life.;n
5200;I’ve got nothing to do today ;p
5201;but smile.;b
5202;Life is to short to remove USB slowly.;n
5203;So many assume. So few know.;p
5204;Nobody can teach me who I am.;p
5205;‘Down’, It only means that you ;p
5206;If people are trying to bring you ;p
5207;I got less but I got best!;p
5208;I’m cool but Summer made me hot!;p
5209;I got less but I got best!;n
5210;I am Waiting for GF Message!;p
5211;So many assume. So few know.;p
5212;Stop saying I wish start saying I will;p
5213;It costs $b.bb to be a decent person.;b
5214;With Great power, Comes great ele bill.;b
5215;I’m sorry my fault. I forgot you’re an Idiot.;b
5216;Love yourself love your day love your life.;b
5217;Sugar? No thanks, I am already sweet..;b
5218;My heart is stolen… Can I check your bar..;p
5219;Life is a story, Make yours the best seller!;b
5220;Life is short. Smile ;p
5221;You are my best reason to lose sleep.;p
5222;I’m the dude with cool attitude!;p
5223;I wish I had Google in my mind ;b
5224;You have TO-GET-HER.;b
5225;If you want to be TOGETHER.  ;p
5226;Your Whatsapp status say’s online;p
5227;… If your online then, why aren’t you ;b
5228;Try to solve your problem yourself… ;p
5229;Don’t Depend on other..!;b
5230;Life begins at the end ;b
5231;of your comfort zone.;b
5232;Stop saying I wish start saying I will.;p
5233;and antivirus in my heart.;p
5234;Every people is a intelligent;n
5235;When he work Hard! Goood feel;p
5236;Please don’t get confused ;p
5237;please smile ..to your life;p
5238;Love yourself love your day love your life.;p
5239;When he work Hard that is great;n
5240;Don’t let a bad day ;p
5241;make u feel u have a bad life.;n
5242;I’ve got nothing to do today ;p
5243;but smile.;b
5244;Life is to short to remove USB slowly.;n
5245;So many assume. So few know.;p
5246;Nobody can teach me who I am.;p
5247;‘Down’, It only means that you ;p
5248;If people are trying to bring you ;p
5249;I got less but I got best!;p
5250;I’m cool but Summer made me hot!;p
5251;I got less but I got best!;n
5252;I am Waiting for GF Message!;p
5253;So many assume. So few know.;p
5254;Stop saying I wish start saying I will;p
5255;It costs $b.bb to be a decent person.;b
5256;With Great power, Comes great ele bill.;b
5257;I’m sorry my fault. I forgot you’re an Idiot.;b
5258;Love yourself love your day love your life.;b
5259;Sugar? No thanks, I am already sweet..;b
5260;My heart is stolen… Can I check your bar..;p
5261;Life is a story, Make yours the best seller!;b
5262;Life is short. Smile ;p
5263;You are my best reason to lose sleep.;p
5264;I’m the dude with cool attitude!;p
5265;I wish I had Google in my mind ;b
5266;You have TO-GET-HER.;b
5267;If you want to be TOGETHER.  ;p
5268;Your Whatsapp status say’s online;p
5269;… If your online then, why aren’t you ;b
5270;Try to solve your problem yourself… ;p
5271;Don’t Depend on other..!;b
5272;Life begins at the end ;b
5273;of your comfort zone.;b
5274;Stop saying I wish start saying I will.;p
5275;and antivirus in my heart.;p
5276;Every people is a intelligent;n
5277;When he work Hard! Goood feel;p
5278;Please don’t get confused ;p
5279;please smile ..to your life;p
5280;Love yourself love your day love your life.;p
5281;When he work Hard that is great;n
5282;Don’t let a bad day ;p
5283;make u feel u have a bad life.;n
5284;I’ve got nothing to do today ;p
5285;but smile.;b
5286;Life is to short to remove USB slowly.;n
5287;So many assume. So few know.;p
5288;Nobody can teach me who I am.;p
5289;‘Down’, It only means that you ;p
5290;If people are trying to bring you ;p
5291;I got less but I got best!;p
5292;I’m cool but Summer made me hot!;p
5293;I got less but I got best!;n
5294;I am Waiting for GF Message!;p
5295;So many assume. So few know.;p
5296;Stop saying I wish start saying I will;p
5297;It costs $b.bb to be a decent person.;b
5298;With Great power, Comes great ele bill.;b
5299;I’m sorry my fault. I forgot you’re an Idiot.;b
5300;Love yourself love your day love your life.;b
5301;Sugar? No thanks, I am already sweet..;b
5302;My heart is stolen… Can I check your bar..;p
5303;Life is a story, Make yours the best seller!;b
5304;Life is short. Smile ;p
5305;You are my best reason to lose sleep.;p
5306;I’m the dude with cool attitude!;p
5307;I wish I had Google in my mind ;b
5308;You have TO-GET-HER.;b
5309;If you want to be TOGETHER.  ;p
5310;Your Whatsapp status say’s online;p
5311;… If your online then, why aren’t you ;b
5312;Try to solve your problem yourself… ;p
5313;Don’t Depend on other..!;b
5314;Life begins at the end ;b
5315;of your comfort zone.;b
5316;Stop saying I wish start saying I will.;p
5317;and antivirus in my heart.;p
5318;Every people is a intelligent;n
5319;When he work Hard! Goood feel;p
5320;Please don’t get confused ;p
5321;please smile ..to your life;p
5322;Love yourself love your day love your life.;p
5323;When he work Hard that is great;n
5324;Don’t let a bad day ;p
5325;make u feel u have a bad life.;n
5326;I’ve got nothing to do today ;p
5327;but smile.;b
5328;Life is to short to remove USB slowly.;n
5329;So many assume. So few know.;p
5330;Nobody can teach me who I am.;p
5331;‘Down’, It only means that you ;p
5332;If people are trying to bring you ;p
5333;I got less but I got best!;p
5334;I’m cool but Summer made me hot!;p
5335;I got less but I got best!;n
5336;I am Waiting for GF Message!;p
5337;So many assume. So few know.;p
5338;Stop saying I wish start saying I will;p
5339;It costs $b.bb to be a decent person.;b
5340;With Great power, Comes great ele bill.;b
5341;I’m sorry my fault. I forgot you’re an Idiot.;b
5342;Love yourself love your day love your life.;b
5343;Sugar? No thanks, I am already sweet..;b
5344;My heart is stolen… Can I check your bar..;p
5345;Life is a story, Make yours the best seller!;b
5346;Life is short. Smile ;p
5347;You are my best reason to lose sleep.;p
5348;I’m the dude with cool attitude!;p
5349;I wish I had Google in my mind ;b
5350;You have TO-GET-HER.;b
5351;If you want to be TOGETHER.  ;p
5352;Your Whatsapp status say’s online;p
5353;… If your online then, why aren’t you ;b
5354;Try to solve your problem yourself… ;p
5355;Don’t Depend on other..!;b
5356;Life begins at the end ;b
5357;of your comfort zone.;b
5358;Stop saying I wish start saying I will.;p
5359;and antivirus in my heart.;p
5360;Every people is a intelligent;n
5361;When he work Hard! Goood feel;p
5362;Please don’t get confused ;p
5363;please smile ..to your life;p
5364;Love yourself love your day love your life.;p
5365;When he work Hard that is great;n
5366;Don’t let a bad day ;p
5367;make u feel u have a bad life.;n
5368;I’ve got nothing to do today ;p
5369;but smile.;b
5370;Life is to short to remove USB slowly.;n
5371;So many assume. So few know.;p
5372;Nobody can teach me who I am.;p
5373;‘Down’, It only means that you ;p
5374;If people are trying to bring you ;p
5375;I got less but I got best!;p
5376;I’m cool but Summer made me hot!;p
5377;I got less but I got best!;n
5378;I am Waiting for GF Message!;p
5379;So many assume. So few know.;p
5380;Stop saying I wish start saying I will;p
5381;It costs $b.bb to be a decent person.;b
5382;With Great power, Comes great ele bill.;b
5383;I’m sorry my fault. I forgot you’re an Idiot.;b
5384;Love yourself love your day love your life.;b
5385;Sugar? No thanks, I am already sweet..;b
5386;My heart is stolen… Can I check your bar..;p
5387;Life is a story, Make yours the best seller!;b
5388;Life is short. Smile ;p
5389;You are my best reason to lose sleep.;p
5390;I’m the dude with cool attitude!;p
5391;I wish I had Google in my mind ;b
5392;You have TO-GET-HER.;b
5393;If you want to be TOGETHER.  ;p
5394;Your Whatsapp status say’s online;p
5395;… If your online then, why aren’t you ;b
5396;Try to solve your problem yourself… ;p
5397;Don’t Depend on other..!;b
5398;Life begins at the end ;b
5399;of your comfort zone.;b
5400;Stop saying I wish start saying I will.;p
5401;and antivirus in my heart.;p
5402;Every people is a intelligent;n
5403;When he work Hard! Goood feel;p
5404;Please don’t get confused ;p
5405;please smile ..to your life;p
5406;Love yourself love your day love your life.;p
5407;When he work Hard that is great;n
5408;Don’t let a bad day ;p
5409;make u feel u have a bad life.;n
5410;I’ve got nothing to do today ;p
5411;but smile.;b
5412;Life is to short to remove USB slowly.;n
5413;So many assume. So few know.;p
5414;Nobody can teach me who I am.;p
5415;‘Down’, It only means that you ;p
5416;If people are trying to bring you ;p
5417;I got less but I got best!;p
5418;I’m cool but Summer made me hot!;p
5419;I got less but I got best!;n
5420;I am Waiting for GF Message!;p
5421;So many assume. So few know.;p
5422;Stop saying I wish start saying I will;p
5423;It costs $b.bb to be a decent person.;b
5424;With Great power, Comes great ele bill.;b
5425;I’m sorry my fault. I forgot you’re an Idiot.;b
5426;Love yourself love your day love your life.;b
5427;Sugar? No thanks, I am already sweet..;b
5428;My heart is stolen… Can I check your bar..;p
5429;Life is a story, Make yours the best seller!;b
5430;Life is short. Smile ;p
5431;You are my best reason to lose sleep.;p
5432;I’m the dude with cool attitude!;p
5433;I wish I had Google in my mind ;b
5434;You have TO-GET-HER.;b
5435;If you want to be TOGETHER.  ;p
5436;Your Whatsapp status say’s online;p
5437;… If your online then, why aren’t you ;b
5438;Try to solve your problem yourself… ;p
5439;Don’t Depend on other..!;b
5440;Life begins at the end ;b
5441;of your comfort zone.;b
5442;Stop saying I wish start saying I will.;p
5443;and antivirus in my heart.;p
5444;Every people is a intelligent;n
5445;When he work Hard! Goood feel;p
5446;Please don’t get confused ;p
5447;please smile ..to your life;p
5448;Love yourself love your day love your life.;p
5449;When he work Hard that is great;n
5450;Don’t let a bad day ;p
5451;make u feel u have a bad life.;n
5452;I’ve got nothing to do today ;p
5453;but smile.;b
5454;Life is to short to remove USB slowly.;n
5455;So many assume. So few know.;p
5456;Nobody can teach me who I am.;p
5457;‘Down’, It only means that you ;p
5458;If people are trying to bring you ;p
5459;I got less but I got best!;p
5460;I’m cool but Summer made me hot!;p
5461;I got less but I got best!;n
5462;I am Waiting for GF Message!;p
5463;So many assume. So few know.;p
5464;Stop saying I wish start saying I will;p
5465;It costs $b.bb to be a decent person.;b
5466;With Great power, Comes great ele bill.;b
5467;I’m sorry my fault. I forgot you’re an Idiot.;b
5468;Love yourself love your day love your life.;b
5469;Sugar? No thanks, I am already sweet..;b
5470;My heart is stolen… Can I check your bar..;p
5471;Life is a story, Make yours the best seller!;b
5472;Life is short. Smile ;p
5473;You are my best reason to lose sleep.;p
5474;I’m the dude with cool attitude!;p
5475;I wish I had Google in my mind ;b
5476;You have TO-GET-HER.;b
5477;If you want to be TOGETHER.  ;p
5478;Your Whatsapp status say’s online;p
5479;… If your online then, why aren’t you ;b
5480;Try to solve your problem yourself… ;p
5481;Don’t Depend on other..!;b
5482;Life begins at the end ;b
5483;of your comfort zone.;b
5484;Stop saying I wish start saying I will.;p
5485;and antivirus in my heart.;p
5486;Every people is a intelligent;n
5487;When he work Hard! Goood feel;p
5488;Please don’t get confused ;p
5489;please smile ..to your life;p
5490;Love yourself love your day love your life.;p
5491;When he work Hard that is great;n
5492;Don’t let a bad day ;p
5493;make u feel u have a bad life.;n
5494;I’ve got nothing to do today ;p
5495;but smile.;b
5496;Life is to short to remove USB slowly.;n
5497;So many assume. So few know.;p
5498;Nobody can teach me who I am.;p
5499;‘Down’, It only means that you ;p
5500;If people are trying to bring you ;p
5501;I got less but I got best!;p
5502;I’m cool but Summer made me hot!;p
5503;I got less but I got best!;n
5504;I am Waiting for GF Message!;p
5505;So many assume. So few know.;p
5506;Stop saying I wish start saying I will;p
5507;It costs $b.bb to be a decent person.;b
5508;With Great power, Comes great ele bill.;b
5509;I’m sorry my fault. I forgot you’re an Idiot.;b
5510;Love yourself love your day love your life.;b
5511;Sugar? No thanks, I am already sweet..;b
5512;My heart is stolen… Can I check your bar..;p
5513;Life is a story, Make yours the best seller!;b
5514;Life is short. Smile ;p
5515;You are my best reason to lose sleep.;p
5516;I’m the dude with cool attitude!;p
5517;I wish I had Google in my mind ;b
5518;You have TO-GET-HER.;b
5519;If you want to be TOGETHER.  ;p
5520;Your Whatsapp status say’s online;p
5521;… If your online then, why aren’t you ;b
5522;Try to solve your problem yourself… ;p
5523;Don’t Depend on other..!;b
5524;Life begins at the end ;b
5525;of your comfort zone.;b
5526;Stop saying I wish start saying I will.;p
5527;and antivirus in my heart.;p
5528;Every people is a intelligent;n
5529;When he work Hard! Goood feel;p
5530;Please don’t get confused ;p
5531;please smile ..to your life;p
5532;Love yourself love your day love your life.;p
5533;When he work Hard that is great;n
5534;Don’t let a bad day ;p
5535;make u feel u have a bad life.;n
5536;I’ve got nothing to do today ;p
5537;but smile.;b
5538;Life is to short to remove USB slowly.;n
5539;So many assume. So few know.;p
5540;Nobody can teach me who I am.;p
5541;‘Down’, It only means that you ;p
5542;If people are trying to bring you ;p
5543;I got less but I got best!;p
5544;I’m cool but Summer made me hot!;p
5545;I got less but I got best!;n
5546;I am Waiting for GF Message!;p
5547;So many assume. So few know.;p
5548;Stop saying I wish start saying I will;p
5549;It costs $b.bb to be a decent person.;b
5550;With Great power, Comes great ele bill.;b
5551;I’m sorry my fault. I forgot you’re an Idiot.;b
5552;Love yourself love your day love your life.;b
5553;Sugar? No thanks, I am already sweet..;b
5554;My heart is stolen… Can I check your bar..;p
5555;Life is a story, Make yours the best seller!;b
5556;Life is short. Smile ;p
5557;You are my best reason to lose sleep.;p
5558;I’m the dude with cool attitude!;p
5559;I wish I had Google in my mind ;b
5560;You have TO-GET-HER.;b
5561;If you want to be TOGETHER.  ;p
5562;Your Whatsapp status say’s online;p
5563;… If your online then, why aren’t you ;b
5564;Try to solve your problem yourself… ;p
5565;Don’t Depend on other..!;b
5566;Life begins at the end ;b
5567;of your comfort zone.;b
5568;Stop saying I wish start saying I will.;p
5569;and antivirus in my heart.;p
5570;Every people is a intelligent;n
5571;When he work Hard! Goood feel;p
5572;Please don’t get confused ;p
5573;please smile ..to your life;p
5574;Love yourself love your day love your life.;p
5575;When he work Hard that is great;n
5576;Don’t let a bad day ;p
5577;make u feel u have a bad life.;n
5578;I’ve got nothing to do today ;p
5579;but smile.;b
5580;Life is to short to remove USB slowly.;n
5581;So many assume. So few know.;p
5582;Nobody can teach me who I am.;p
5583;‘Down’, It only means that you ;p
5584;If people are trying to bring you ;p
5585;I got less but I got best!;p
5586;I’m cool but Summer made me hot!;p
5587;I got less but I got best!;n
5588;I am Waiting for GF Message!;p
5589;So many assume. So few know.;p
5590;Stop saying I wish start saying I will;p
5591;It costs $b.bb to be a decent person.;b
5592;With Great power, Comes great ele bill.;b
5593;I’m sorry my fault. I forgot you’re an Idiot.;b
5594;Love yourself love your day love your life.;b
5595;Sugar? No thanks, I am already sweet..;b
5596;My heart is stolen… Can I check your bar..;p
5597;Life is a story, Make yours the best seller!;b
5598;Life is short. Smile ;p
5599;You are my best reason to lose sleep.;p
5600;I’m the dude with cool attitude!;p
5601;I wish I had Google in my mind ;b
5602;You have TO-GET-HER.;b
5603;If you want to be TOGETHER.  ;p
5604;Your Whatsapp status say’s online;p
5605;… If your online then, why aren’t you ;b
5606;Try to solve your problem yourself… ;p
5607;Don’t Depend on other..!;b
5608;Life begins at the end ;b
5609;of your comfort zone.;b
5610;Stop saying I wish start saying I will.;p
5611;and antivirus in my heart.;p
5612;Every people is a intelligent;n
5613;When he work Hard! Goood feel;p
5614;Please don’t get confused ;p
5615;please smile ..to your life;p
5616;Love yourself love your day love your life.;p
5617;When he work Hard that is great;n
5618;Don’t let a bad day ;p
5619;make u feel u have a bad life.;n
5620;I’ve got nothing to do today ;p
5621;but smile.;b
5622;Life is to short to remove USB slowly.;n
5623;So many assume. So few know.;p
5624;Nobody can teach me who I am.;p
5625;‘Down’, It only means that you ;p
5626;If people are trying to bring you ;p
5627;I got less but I got best!;p
5628;I’m cool but Summer made me hot!;p
5629;I got less but I got best!;n
5630;I am Waiting for GF Message!;p
5631;So many assume. So few know.;p
5632;Stop saying I wish start saying I will;p
5633;It costs $b.bb to be a decent person.;b
5634;With Great power, Comes great ele bill.;b
5635;I’m sorry my fault. I forgot you’re an Idiot.;b
5636;Love yourself love your day love your life.;b
5637;Sugar? No thanks, I am already sweet..;b
5638;My heart is stolen… Can I check your bar..;p
5639;Life is a story, Make yours the best seller!;b
5640;Life is short. Smile ;p
5641;You are my best reason to lose sleep.;p
5642;I’m the dude with cool attitude!;p
5643;I wish I had Google in my mind ;b
5644;You have TO-GET-HER.;b
5645;If you want to be TOGETHER.  ;p
5646;Your Whatsapp status say’s online;p
5647;… If your online then, why aren’t you ;b
5648;Try to solve your problem yourself… ;p
5649;Don’t Depend on other..!;b
5650;Life begins at the end ;b
5651;of your comfort zone.;b
5652;Stop saying I wish start saying I will.;p
5653;and antivirus in my heart.;p
5654;Every people is a intelligent;n
5655;When he work Hard! Goood feel;p
5656;Please don’t get confused ;p
5657;please smile ..to your life;p
5658;Love yourself love your day love your life.;p
5659;When he work Hard that is great;n
5660;Don’t let a bad day ;p
5661;make u feel u have a bad life.;n
5662;I’ve got nothing to do today ;p
5663;but smile.;b
5664;Life is to short to remove USB slowly.;n
5665;So many assume. So few know.;p
5666;Nobody can teach me who I am.;p
5667;‘Down’, It only means that you ;p
5668;If people are trying to bring you ;p
5669;I got less but I got best!;p
5670;I’m cool but Summer made me hot!;p
5671;I got less but I got best!;n
5672;I am Waiting for GF Message!;p
5673;So many assume. So few know.;p
5674;Stop saying I wish start saying I will;p
5675;It costs $b.bb to be a decent person.;b
5676;With Great power, Comes great ele bill.;b
5677;I’m sorry my fault. I forgot you’re an Idiot.;b
5678;Love yourself love your day love your life.;b
5679;Sugar? No thanks, I am already sweet..;b
5680;My heart is stolen… Can I check your bar..;p
5681;Life is a story, Make yours the best seller!;b
5682;Life is short. Smile ;p
5683;You are my best reason to lose sleep.;p
5684;I’m the dude with cool attitude!;p
5685;I wish I had Google in my mind ;b
5686;You have TO-GET-HER.;b
5687;If you want to be TOGETHER.  ;p
5688;Your Whatsapp status say’s online;p
5689;… If your online then, why aren’t you ;b
5690;Try to solve your problem yourself… ;p
5691;Don’t Depend on other..!;b
5692;Life begins at the end ;b
5693;of your comfort zone.;b
5694;Stop saying I wish start saying I will.;p
5695;and antivirus in my heart.;p
5696;Every people is a intelligent;n
5697;When he work Hard! Goood feel;p
5698;Please don’t get confused ;p
5699;please smile ..to your life;p
5700;Love yourself love your day love your life.;p
5701;When he work Hard that is great;n
5702;Don’t let a bad day ;p
5703;make u feel u have a bad life.;n
5704;I’ve got nothing to do today ;p
5705;but smile.;b
5706;Life is to short to remove USB slowly.;n
5707;So many assume. So few know.;p
5708;Nobody can teach me who I am.;p
5709;‘Down’, It only means that you ;p
5710;If people are trying to bring you ;p
5711;I got less but I got best!;p
5712;I’m cool but Summer made me hot!;p
5713;I got less but I got best!;n
5714;I am Waiting for GF Message!;p
5715;So many assume. So few know.;p
5716;Stop saying I wish start saying I will;p
5717;It costs $b.bb to be a decent person.;b
5718;With Great power, Comes great ele bill.;b
5719;I’m sorry my fault. I forgot you’re an Idiot.;b
5720;Love yourself love your day love your life.;b
5721;Sugar? No thanks, I am already sweet..;b
5722;My heart is stolen… Can I check your bar..;p
5723;Life is a story, Make yours the best seller!;b
5724;Life is short. Smile ;p
5725;You are my best reason to lose sleep.;p
5726;I’m the dude with cool attitude!;p
5727;I wish I had Google in my mind ;b
5728;You have TO-GET-HER.;b
5729;If you want to be TOGETHER.  ;p
5730;Your Whatsapp status say’s online;p
5731;… If your online then, why aren’t you ;b
5732;Try to solve your problem yourself… ;p
5733;Don’t Depend on other..!;b
5734;Life begins at the end ;b
5735;of your comfort zone.;b
5736;Stop saying I wish start saying I will.;p
5737;and antivirus in my heart.;p
5738;Every people is a intelligent;n
5739;When he work Hard! Goood feel;p
5740;Please don’t get confused ;p
5741;please smile ..to your life;p
5742;Love yourself love your day love your life.;p
5743;When he work Hard that is great;n
5744;Don’t let a bad day ;p
5745;make u feel u have a bad life.;n
5746;I’ve got nothing to do today ;p
5747;but smile.;b
5748;Life is to short to remove USB slowly.;n
5749;So many assume. So few know.;p
5750;Nobody can teach me who I am.;p
5751;‘Down’, It only means that you ;p
5752;If people are trying to bring you ;p
5753;I got less but I got best!;p
5754;I’m cool but Summer made me hot!;p
5755;I got less but I got best!;n
5756;I am Waiting for GF Message!;p
5757;So many assume. So few know.;p
5758;Stop saying I wish start saying I will;p
5759;It costs $b.bb to be a decent person.;b
5760;With Great power, Comes great ele bill.;b
5761;I’m sorry my fault. I forgot you’re an Idiot.;b
5762;Love yourself love your day love your life.;b
5763;Sugar? No thanks, I am already sweet..;b
5764;My heart is stolen… Can I check your bar..;p
5765;Life is a story, Make yours the best seller!;b
5766;Life is short. Smile ;p
5767;You are my best reason to lose sleep.;p
5768;I’m the dude with cool attitude!;p
5769;I wish I had Google in my mind ;b
5770;You have TO-GET-HER.;b
5771;If you want to be TOGETHER.  ;p
5772;Your Whatsapp status say’s online;p
5773;… If your online then, why aren’t you ;b
5774;Try to solve your problem yourself… ;p
5775;Don’t Depend on other..!;b
5776;Life begins at the end ;b
5777;of your comfort zone.;b
5778;Stop saying I wish start saying I will.;p
5779;and antivirus in my heart.;p
5780;Every people is a intelligent;n
5781;When he work Hard! Goood feel;p
5782;Please don’t get confused ;p
5783;please smile ..to your life;p
5784;Love yourself love your day love your life.;p
5785;When he work Hard that is great;n
5786;Don’t let a bad day ;p
5787;make u feel u have a bad life.;n
5788;I’ve got nothing to do today ;p
5789;but smile.;b
5790;Life is to short to remove USB slowly.;n
5791;So many assume. So few know.;p
5792;Nobody can teach me who I am.;p
5793;‘Down’, It only means that you ;p
5794;If people are trying to bring you ;p
5795;I got less but I got best!;p
5796;I’m cool but Summer made me hot!;p
5797;I got less but I got best!;n
5798;I am Waiting for GF Message!;p
5799;So many assume. So few know.;p
5800;Stop saying I wish start saying I will;p
5801;It costs $b.bb to be a decent person.;b
